International number ID,date,Latitude of the center,Longitude of the center,Central pressure,timestamp
9709,1997-08-01 00:00:00,33.08940560382962,136.4002921059299,997.939227514873,870364800
9709,1997-08-01 06:00:00,33.519206137741776,136.45518212267814,995.9241184121574,870386400
9709,1997-08-01 12:00:00,33.94801754314494,136.5065555703631,994.1895942309075,870408000
9805,1998-09-18 12:00:00,50.99621394574024,186.42219627296436,973.5927085053918,906091200
9805,1998-09-18 18:00:00,51.860237762055476,192.84143466283786,971.13448048383,906112800
9805,1998-09-19 00:00:00,52.690123036443765,199.55926631595776,968.616988982576,906134400
9805,1998-09-19 06:00:00,53.48401086629565,206.5763289397437,966.0324548892895,906156000
9805,1998-09-19 12:00:00,54.24014738791084,213.8923738601443,963.3735843750765,906177600
14,2000-09-19 06:00:00,48.39743600477959,142.5175233540349,1016.1213782744653,969314400
14,2000-09-19 12:00:00,49.414927905323566,142.94774934725137,1020.3362450606073,969336000
14,2000-09-19 18:00:00,50.453484856664545,143.48062039696106,1024.6560565969958,969357600
14,2000-09-20 00:00:00,51.51398347868371,144.10787230019923,1029.0909460627945,969379200
14,2000-09-20 06:00:00,52.59719586549636,144.8227397836531,1033.6499476502358,969400800
9210,1992-08-13 18:00:00,57.10631821766037,184.42320047090652,997.7120794428924,713700000
9210,1992-08-14 00:00:00,57.92051584772162,187.8373681857547,992.8236246172646,713721600
9210,1992-08-14 06:00:00,58.51624656207605,191.25146158546886,987.2779258355126,713743200
9210,1992-08-14 12:00:00,58.94043467203301,194.66787197949998,981.0298034293232,713764800
9210,1992-08-14 18:00:00,59.222799906719956,198.08466925824814,974.0421973221946,713786400
9117,1991-09-17 00:00:00,41.55731447034668,187.33831652055596,994.6943271553282,685036800
9117,1991-09-17 06:00:00,41.93437700136565,191.6023915018277,991.1495718849183,685058400
9117,1991-09-17 12:00:00,42.18448432630976,195.76319851678818,987.2271821724498,685080000
9117,1991-09-17 18:00:00,42.339934485642516,199.79038685728392,982.8428519892877,685101600
9117,1991-09-18 00:00:00,42.42111618720992,203.65322641897728,977.9456085983693,685123200
9514,1995-09-26 00:00:00,46.95000083643117,163.60099961915898,1000.4539247421108,812044800
9514,1995-09-26 06:00:00,48.80872204563639,166.41553805935587,1003.2922184876315,812066400
9514,1995-09-26 12:00:00,50.64012038803048,169.4152805929716,1006.4289408298355,812088000
9514,1995-09-26 18:00:00,52.481614695414464,172.5856478026103,1009.8171092406819,812109600
9514,1995-09-27 00:00:00,54.35540967126508,175.9200046755293,1013.4321576972134,812131200
9707,1997-06-22 12:00:00,45.966197724921585,166.27405876587954,996.8740252610405,866952000
9707,1997-06-22 18:00:00,47.30959987413189,170.27989367731288,998.0655514854479,866973600
9707,1997-06-23 00:00:00,48.644971493227786,174.64774634093237,999.5280959541597,866995200
9707,1997-06-23 06:00:00,49.98108006675102,179.408567364972,1001.2335251266522,867016800
9707,1997-06-23 12:00:00,51.32304827588996,184.5946176348466,1003.165229008926,867038400
9810,1998-10-20 06:00:00,53.29793945976962,168.09223984095343,1003.9437415222665,908834400
9810,1998-10-20 12:00:00,55.69087219793619,170.77956368237437,1004.3221758865388,908856000
9810,1998-10-20 18:00:00,58.02536431054068,173.7234466504883,1005.0201860131783,908877600
9810,1998-10-21 00:00:00,60.33481835679231,176.89705167988177,1005.9532848661229,908899200
9810,1998-10-21 06:00:00,62.643256378987644,180.28184982321636,1007.0589278597404,908920800
1512,2015-07-26 18:00:00,33.661541080875395,129.71919923489622,1008.391062943811,1437904800
1512,2015-07-27 00:00:00,33.6089025836136,129.1917326594521,1012.5826459135751,1437926400
